objid,objtype,u,g,r,i,z,redshift,redshift_err
1237651539254968412,GALAXY,19.11486,17.33873,16.47192,16.02451,15.65182,0.04468057,1.345262e-05
1237651539254968694,GALAXY,19.22056,18.00663,17.45615,17.16416,16.95155,0.1403082,1.030451e-05
1237651539255034134,GALAXY,18.66537,17.42813,16.92972,16.64211,16.4579,0.04056182,8.670289e-06
1237651539255034146,GALAXY,18.89133,17.53336,16.81332,16.41926,16.11056,0.1275224,1.831955e-05
1237651539255099398,STAR,17.20561,17.35071,17.80572,18.14478,18.42415,-1.242032e-05,2.595818e-05
1237651539255099454,STAR,18.51094,17.58551,17.33932,17.21662,17.20454,-0.0007975725,1.593306e-05
1237651539255099456,STAR,18.19243,17.15638,16.84117,16.72377,16.70593,-0.0002086772,1.039333e-05
1237651539255164991,QSO,19.3234,19.66604,20.17005,20.51885,20.55268,1.601357,0.003271557
1237651539255165141,GALAXY,18.41059,17.6176,17.00802,16.62207,16.45962,0.1391289,1.062761e-05
1237651539255230562,QSO,19.55663,19.15941,18.52097,18.19939,17.95374,0.253992,2.320593e-05
1237651539255230599,STAR,19.30824,18.35161,18.05868,17.93843,17.89785,-0.0006926148,1.597186e-05
1237651539255230678,GALAXY,19.38856,17.31741,16.201,15.76434,15.41688,0.1420252,1.805511e-05
1237651539255296073,QSO,18.8646,18.58494,18.5295,18.34151,18.46507,1.535579,0.0002758104
1237651539255296107,QSO,18.64436,18.47647,18.49598,18.36433,18.39264,1.610061,0.0002455163
1237651539255427189,GALAXY,18.78313,17.63851,17.2415,17.01668,16.80971,0.03488773,9.073632e-06
1237651539255492682,STAR,19.49838,19.35024,19.6995,19.98605,20.27492,-8.165354e-05,9.618882e-05
1237651539255492686,GALAXY,19.53153,17.86041,17.32437,17.01309,16.85575,0.09922086,7.208149e-06
1237651539255558291,GALAXY,18.81961,17.40155,16.70688,16.2868,16.03583,0.07679462,8.202518e-06
1237651539255623753,QSO,18.81158,18.70512,18.2289,17.95561,17.54374,0.2847331,3.050083e-05
1237651539255623815,STAR,19.58282,18.37216,17.82409,17.57242,17.42444,-0.000650204,2.084836e-05
1237651539255689328,QSO,18.97042,18.91709,18.85336,18.58667,18.50305,1.783031,0.0001428367
1237651539255754949,GALAXY,19.07153,17.09008,16.03995,15.61464,15.27859,0.1110101,2.49201e-05
1237651539255754986,QSO,19.42374,19.38964,19.26621,18.97992,18.79309,1.934181,0.0004335314
1237651539255754998,GALAXY,16.59225,15.32425,14.76177,14.44703,14.19073,0.04093771,1.45809e-05
1237651539255755038,GALAXY,19.22217,17.592,16.80292,16.43273,16.13856,0.05316315,1.372922e-05
1237651539255820301,STAR,18.71377,18.62173,18.96854,19.23999,19.48896,-0.0001115293,4.900159e-05
1237651539255886099,QSO,19.33958,19.13518,19.00048,18.67564,18.58605,1.664954,0.0003453245
1237651539255951447,STAR,17.66072,16.7558,16.47866,16.38056,16.34556,-0.0007939549,8.240591e-06
1237651539255951577,GALAXY,18.88263,17.78421,17.25592,16.84549,16.71295,0.1478007,1.064755e-05
1237651539256016988,GALAXY,17.84968,16.64813,16.13489,15.80273,15.62698,0.05140135,1.221325e-05
1237651539256017061,QSO,19.30162,19.01524,18.98866,19.0628,18.85438,0.7277465,7.991798e-05
1237651539256082494,GALAXY,16.73256,15.68596,15.34626,15.08214,14.9478,0.05110191,7.405958e-06
1237651539256082643,GALAXY,19.49529,18.19177,17.57839,17.24622,16.94643,0.028663,1.047087e-05
1237651539256148118,GALAXY,18.99282,17.39081,16.75066,16.37975,16.05995,0.04883342,1.745358e-05
1237651539256213568,QSO,18.86371,18.79988,18.45279,18.22239,17.95249,0.2566971,5.436543e-05
1237651539256213577,STAR,17.59566,17.77414,18.27197,18.57011,18.92223,-0.000468328,2.13999e-05
1237651539256213756,GALAXY,19.16259,17.85089,17.22311,16.83476,16.58943,0.07447196,9.408682e-06
1237651539256279059,STAR,18.5352,17.63198,17.30588,17.19459,17.14498,-0.001010493,1.047965e-05
1237651539256279305,GALAXY,18.82295,17.53947,17.0448,16.71817,16.48544,0.05528806,7.874523e-06
1237651539256279320,GALAXY,18.19749,16.31824,15.42549,15.00916,14.6751,0.07604735,1.40689e-05
1237651539256279330,STAR,19.49177,18.55896,18.24218,18.12907,18.10217,-0.0008894277,1.280055e-05
1237651539256410252,STAR,19.34524,18.46856,18.19223,18.06107,18.07402,-0.0008568329,2.452341e-05
1237651539256410307,GALAXY,18.147,16.93252,16.38789,16.0411,15.87757,0.05796618,1.269506e-05
1237651539256475761,GALAXY,18.65882,17.3786,16.74103,16.36401,16.07227,0.03870302,6.122032e-06
1237651539256541348,GALAXY,19.50148,17.79583,17.08847,16.78312,16.49294,0.1467632,2.567571e-05
1237651539256541368,GALAXY,18.79953,17.22227,16.53751,16.21419,16.0034,0.02153374,2.891142e-05
1237651539256606845,STAR,19.21363,18.33328,18.04748,17.96661,17.93702,-0.000757881,1.378721e-05
1237651539256737922,STAR,18.5622,17.69793,17.35102,17.19261,17.19402,-0.0008510817,1.935767e-05
1237651539256737936,GALAXY,19.24214,18.12193,17.56736,17.1526,16.98524,0.1269062,5.465064e-06
1237651539256803422,GALAXY,17.78394,15.93366,15.11379,14.72974,14.40535,0.03861468,1.198055e-05
1237651539256803437,QSO,19.39948,19.21433,19.07253,18.91878,18.62866,2.061476,0.0005097738
1237651539256803491,GALAXY,19.53493,18.89705,18.34307,17.95536,17.82888,0.1921104,1.364974e-05
1237651539256803495,GALAXY,18.86988,17.3812,16.61441,16.16689,15.85505,0.1094151,1.162295e-05
1237651539257000162,QSO,19.47309,19.36622,19.38392,19.15575,18.99818,2.097271,0.0004571999
1237651539257065665,QSO,19.42005,19.0412,18.97333,18.98125,18.83279,2.182461,0.0008316198
1237651539257065669,GALAXY,19.36313,18.05852,17.44506,17.09205,16.87126,0.1073282,1.127915e-05
1237651539257065689,GALAXY,18.50287,17.43192,16.95189,16.61864,16.46398,0.06583611,8.30446e-06
1237651539257131079,STAR,18.33764,17.16788,16.72977,16.56799,16.55424,-0.0005061585,9.657961e-06
1237651539257131083,QSO,17.65291,17.54838,17.22547,17.10908,17.12827,1.281039,0.0001743482
1237651539257131111,GALAXY,18.90624,17.25508,16.43916,15.97979,15.654,0.07392846,1.709456e-05
1237651539257262249,GALAXY,19.25796,17.98872,17.50286,17.18885,17.04827,0.05989118,1.028544e-05
1237651539257262261,GALAXY,17.772,16.26093,15.52231,15.10182,14.81837,0.07374588,1.183167e-05
1237651539257327634,GALAXY,18.97098,17.54118,16.988,16.6738,16.63147,0.04490209,2.168408e-05
